CustomerId,FirstName,LastName,Company,Address,City,State,Country,PostalCode,Phone,Fax,Email,SupportRepId,InvoiceID,total_price,track_quantity
1,Luís,Gonçalves,"Embraer - Empresa Brasileira de Aeronáutica S.A.","Av. Brigadeiro Faria Lima, 2170","São José dos Campos",SP,Brazil,12227-000,"+55 (12) 3923-5555","+55 (12) 3923-5566",luisg@embraer.com.br,3,98,3.98,2
1,Luís,Gonçalves,"Embraer - Empresa Brasileira de Aeronáutica S.A.","Av. Brigadeiro Faria Lima, 2170","São José dos Campos",SP,Brazil,12227-000,"+55 (12) 3923-5555","+55 (12) 3923-5566",luisg@embraer.com.br,3,121,3.96,4
1,Luís,Gonçalves,"Embraer - Empresa Brasileira de Aeronáutica S.A.","Av. Brigadeiro Faria Lima, 2170","São José dos Campos",SP,Brazil,12227-000,"+55 (12) 3923-5555","+55 (12) 3923-5566",luisg@embraer.com.br,3,143,5.94,6
1,Luís,Gonçalves,"Embraer - Empresa Brasileira de Aeronáutica S.A.","Av. Brigadeiro Faria Lima, 2170","São José dos Campos",SP,Brazil,12227-000,"+55 (12) 3923-5555","+55 (12) 3923-5566",luisg@embraer.com.br,3,195,0.99,1
1,Luís,Gonçalves,"Embraer - Empresa Brasileira de Aeronáutica S.A.","Av. Brigadeiro Faria Lima, 2170","São José dos Campos",SP,Brazil,12227-000,"+55 (12) 3923-5555","+55 (12) 3923-5566",luisg@embraer.com.br,3,316,1.98,2
1,Luís,Gonçalves,"Embraer - Empresa Brasileira de Aeronáutica S.A.","Av. Brigadeiro Faria Lima, 2170","São José dos Campos",SP,Brazil,12227-000,"+55 (12) 3923-5555","+55 (12) 3923-5566",luisg@embraer.com.br,3,327,13.86,14
1,Luís,Gonçalves,"Embraer - Empresa Brasileira de Aeronáutica S.A.","Av. Brigadeiro Faria Lima, 2170","São José dos Campos",SP,Brazil,12227-000,"+55 (12) 3923-5555","+55 (12) 3923-5566",luisg@embraer.com.br,3,382,8.91,9
2,Leonie,Köhler,NULL,"Theodor-Heuss-Straße 34",Stuttgart,NULL,Germany,70174,"+49 0711 2842222",NULL,leonekohler@surfeu.de,5,1,1.98,2
2,Leonie,Köhler,NULL,"Theodor-Heuss-Straße 34",Stuttgart,NULL,Germany,70174,"+49 0711 2842222",NULL,leonekohler@surfeu.de,5,12,13.86,14
2,Leonie,Köhler,NULL,"Theodor-Heuss-Straße 34",Stuttgart,NULL,Germany,70174,"+49 0711 2842222",NULL,leonekohler@surfeu.de,5,67,8.91,9
2,Leonie,Köhler,NULL,"Theodor-Heuss-Straße 34",Stuttgart,NULL,Germany,70174,"+49 0711 2842222",NULL,leonekohler@surfeu.de,5,196,1.98,2
2,Leonie,Köhler,NULL,"Theodor-Heuss-Straße 34",Stuttgart,NULL,Germany,70174,"+49 0711 2842222",NULL,leonekohler@surfeu.de,5,219,3.96,4
2,Leonie,Köhler,NULL,"Theodor-Heuss-Straße 34",Stuttgart,NULL,Germany,70174,"+49 0711 2842222",NULL,leonekohler@surfeu.de,5,241,5.94,6
2,Leonie,Köhler,NULL,"Theodor-Heuss-Straße 34",Stuttgart,NULL,Germany,70174,"+49 0711 2842222",NULL,leonekohler@surfeu.de,5,293,0.99,1
3,François,Tremblay,NULL,"1498 rue Bélanger",Montréal,QC,Canada,"H2G 1A7","+1 (514) 721-4711",NULL,ftremblay@gmail.com,3,99,3.98,2
3,François,Tremblay,NULL,"1498 rue Bélanger",Montréal,QC,Canada,"H2G 1A7","+1 (514) 721-4711",NULL,ftremblay@gmail.com,3,110,13.86,14
3,François,Tremblay,NULL,"1498 rue Bélanger",Montréal,QC,Canada,"H2G 1A7","+1 (514) 721-4711",NULL,ftremblay@gmail.com,3,165,8.91,9
3,François,Tremblay,NULL,"1498 rue Bélanger",Montréal,QC,Canada,"H2G 1A7","+1 (514) 721-4711",NULL,ftremblay@gmail.com,3,294,1.98,2
3,François,Tremblay,NULL,"1498 rue Bélanger",Montréal,QC,Canada,"H2G 1A7","+1 (514) 721-4711",NULL,ftremblay@gmail.com,3,317,3.96,4
3,François,Tremblay,NULL,"1498 rue Bélanger",Montréal,QC,Canada,"H2G 1A7","+1 (514) 721-4711",NULL,ftremblay@gmail.com,3,339,5.94,6
3,François,Tremblay,NULL,"1498 rue Bélanger",Montréal,QC,Canada,"H2G 1A7","+1 (514) 721-4711",NULL,ftremblay@gmail.com,3,391,0.99,1
4,Bjørn,Hansen,NULL,"Ullevålsveien 14",Oslo,NULL,Norway,0171,"+47 22 44 22 22",NULL,bjorn.hansen@yahoo.no,4,2,3.96,4
4,Bjørn,Hansen,NULL,"Ullevålsveien 14",Oslo,NULL,Norway,0171,"+47 22 44 22 22",NULL,bjorn.hansen@yahoo.no,4,24,5.94,6
4,Bjørn,Hansen,NULL,"Ullevålsveien 14",Oslo,NULL,Norway,0171,"+47 22 44 22 22",NULL,bjorn.hansen@yahoo.no,4,76,0.99,1
4,Bjørn,Hansen,NULL,"Ullevålsveien 14",Oslo,NULL,Norway,0171,"+47 22 44 22 22",NULL,bjorn.hansen@yahoo.no,4,197,1.98,2
4,Bjørn,Hansen,NULL,"Ullevålsveien 14",Oslo,NULL,Norway,0171,"+47 22 44 22 22",NULL,bjorn.hansen@yahoo.no,4,208,15.86,14
4,Bjørn,Hansen,NULL,"Ullevålsveien 14",Oslo,NULL,Norway,0171,"+47 22 44 22 22",NULL,bjorn.hansen@yahoo.no,4,263,8.91,9
4,Bjørn,Hansen,NULL,"Ullevålsveien 14",Oslo,NULL,Norway,0171,"+47 22 44 22 22",NULL,bjorn.hansen@yahoo.no,4,392,1.98,2
5,František,Wichterlová,"JetBrains s.r.o.","Klanova 9/506",Prague,NULL,"Czech Republic",14700,"+420 2 4172 5555","+420 2 4172 5555",frantisekw@jetbrains.com,4,77,1.98,2
5,František,Wichterlová,"JetBrains s.r.o.","Klanova 9/506",Prague,NULL,"Czech Republic",14700,"+420 2 4172 5555","+420 2 4172 5555",frantisekw@jetbrains.com,4,100,3.96,4
5,František,Wichterlová,"JetBrains s.r.o.","Klanova 9/506",Prague,NULL,"Czech Republic",14700,"+420 2 4172 5555","+420 2 4172 5555",frantisekw@jetbrains.com,4,122,5.94,6
5,František,Wichterlová,"JetBrains s.r.o.","Klanova 9/506",Prague,NULL,"Czech Republic",14700,"+420 2 4172 5555","+420 2 4172 5555",frantisekw@jetbrains.com,4,174,0.99,1
5,František,Wichterlová,"JetBrains s.r.o.","Klanova 9/506",Prague,NULL,"Czech Republic",14700,"+420 2 4172 5555","+420 2 4172 5555",frantisekw@jetbrains.com,4,295,1.98,2
5,František,Wichterlová,"JetBrains s.r.o.","Klanova 9/506",Prague,NULL,"Czech Republic",14700,"+420 2 4172 5555","+420 2 4172 5555",frantisekw@jetbrains.com,4,306,16.86,14
5,František,Wichterlová,"JetBrains s.r.o.","Klanova 9/506",Prague,NULL,"Czech Republic",14700,"+420 2 4172 5555","+420 2 4172 5555",frantisekw@jetbrains.com,4,361,8.91,9
6,Helena,Holý,NULL,"Rilská 3174/6",Prague,NULL,"Czech Republic",14300,"+420 2 4177 0449",NULL,hholy@gmail.com,5,46,8.91,9
6,Helena,Holý,NULL,"Rilská 3174/6",Prague,NULL,"Czech Republic",14300,"+420 2 4177 0449",NULL,hholy@gmail.com,5,175,1.98,2
6,Helena,Holý,NULL,"Rilská 3174/6",Prague,NULL,"Czech Republic",14300,"+420 2 4177 0449",NULL,hholy@gmail.com,5,198,3.96,4
6,Helena,Holý,NULL,"Rilská 3174/6",Prague,NULL,"Czech Republic",14300,"+420 2 4177 0449",NULL,hholy@gmail.com,5,220,5.94,6
6,Helena,Holý,NULL,"Rilská 3174/6",Prague,NULL,"Czech Republic",14300,"+420 2 4177 0449",NULL,hholy@gmail.com,5,272,0.99,1
6,Helena,Holý,NULL,"Rilská 3174/6",Prague,NULL,"Czech Republic",14300,"+420 2 4177 0449",NULL,hholy@gmail.com,5,393,1.98,2
6,Helena,Holý,NULL,"Rilská 3174/6",Prague,NULL,"Czech Republic",14300,"+420 2 4177 0449",NULL,hholy@gmail.com,5,404,25.86,14
7,Astrid,Gruber,NULL,"Rotenturmstraße 4, 1010 Innere Stadt",Vienne,NULL,Austria,1010,"+43 01 5134505",NULL,astrid.gruber@apple.at,5,78,1.98,2
7,Astrid,Gruber,NULL,"Rotenturmstraße 4, 1010 Innere Stadt",Vienne,NULL,Austria,1010,"+43 01 5134505",NULL,astrid.gruber@apple.at,5,89,18.86,14
7,Astrid,Gruber,NULL,"Rotenturmstraße 4, 1010 Innere Stadt",Vienne,NULL,Austria,1010,"+43 01 5134505",NULL,astrid.gruber@apple.at,5,144,8.91,9
7,Astrid,Gruber,NULL,"Rotenturmstraße 4, 1010 Innere Stadt",Vienne,NULL,Austria,1010,"+43 01 5134505",NULL,astrid.gruber@apple.at,5,273,1.98,2
7,Astrid,Gruber,NULL,"Rotenturmstraße 4, 1010 Innere Stadt",Vienne,NULL,Austria,1010,"+43 01 5134505",NULL,astrid.gruber@apple.at,5,296,3.96,4
7,Astrid,Gruber,NULL,"Rotenturmstraße 4, 1010 Innere Stadt",Vienne,NULL,Austria,1010,"+43 01 5134505",NULL,astrid.gruber@apple.at,5,318,5.94,6
7,Astrid,Gruber,NULL,"Rotenturmstraße 4, 1010 Innere Stadt",Vienne,NULL,Austria,1010,"+43 01 5134505",NULL,astrid.gruber@apple.at,5,370,0.99,1
8,Daan,Peeters,NULL,"Grétrystraat 63",Brussels,NULL,Belgium,1000,"+32 02 219 03 03",NULL,daan_peeters@apple.be,4,3,5.94,6
8,Daan,Peeters,NULL,"Grétrystraat 63",Brussels,NULL,Belgium,1000,"+32 02 219 03 03",NULL,daan_peeters@apple.be,4,55,0.99,1
8,Daan,Peeters,NULL,"Grétrystraat 63",Brussels,NULL,Belgium,1000,"+32 02 219 03 03",NULL,daan_peeters@apple.be,4,176,1.98,2
8,Daan,Peeters,NULL,"Grétrystraat 63",Brussels,NULL,Belgium,1000,"+32 02 219 03 03",NULL,daan_peeters@apple.be,4,187,13.86,14
8,Daan,Peeters,NULL,"Grétrystraat 63",Brussels,NULL,Belgium,1000,"+32 02 219 03 03",NULL,daan_peeters@apple.be,4,242,8.91,9
8,Daan,Peeters,NULL,"Grétrystraat 63",Brussels,NULL,Belgium,1000,"+32 02 219 03 03",NULL,daan_peeters@apple.be,4,371,1.98,2
8,Daan,Peeters,NULL,"Grétrystraat 63",Brussels,NULL,Belgium,1000,"+32 02 219 03 03",NULL,daan_peeters@apple.be,4,394,3.96,4
9,Kara,Nielsen,NULL,"Sønder Boulevard 51",Copenhagen,NULL,Denmark,1720,"+453 3331 9991",NULL,kara.nielsen@jubii.dk,4,56,1.98,2
9,Kara,Nielsen,NULL,"Sønder Boulevard 51",Copenhagen,NULL,Denmark,1720,"+453 3331 9991",NULL,kara.nielsen@jubii.dk,4,79,3.96,4
9,Kara,Nielsen,NULL,"Sønder Boulevard 51",Copenhagen,NULL,Denmark,1720,"+453 3331 9991",NULL,kara.nielsen@jubii.dk,4,101,5.94,6
9,Kara,Nielsen,NULL,"Sønder Boulevard 51",Copenhagen,NULL,Denmark,1720,"+453 3331 9991",NULL,kara.nielsen@jubii.dk,4,153,0.99,1
